address,Latitude,Longitude
"경상북도 구미시 산동읍 인덕1길 131, 107호(경운대학교 창업보육센터)",36.1733919,128.4641366
"경상북도 구미시 산동읍 인덕1길 131, 202호(경운대학교 창업보육센터)",36.1733919,128.4641366
"경상북도 구미시 산동읍 인덕1길 131, 208호(경운대학교 창업보육센터)",36.1733919,128.4641366
"경상북도 구미시 산동읍 인덕1길 131, 경운대학교 창업보육센터 103",36.1733919,128.4641366
"경상북도 구미시 산동읍 인덕1길 131, 경운대학교 창업보육센터 104호",36.1733919,128.4641366
"경상북도 구미시 산동읍 인덕1길 131, 경운대학교 창업보육센터 301호",36.1733919,128.4641366
"경상북도 구미시 산동읍 인덕1길 131, 경운대학교 창업보육센터 306호",36.1733919,128.4641366
"경상북도 구미시 산동읍 인덕1길 131, 경운대학교 창업보육센터 309",36.1733919,128.4641366
"경상북도 구미시 산동읍 인덕1길 131, 경운대학교 창업보육센터 309호",36.1733919,128.4641366
"경상북도 구미시 산동읍 인덕1길 131, 경운대학교 창업보육센터 404호",36.1733919,128.4641366
"경상북도 구미시 산동읍 인덕1길 131, 경운대학교 창업보육센터 407호",36.1733919,128.4641366
"경상북도 구미시 산동읍 인덕1길 131, 경운대학교 창업보육센터 413호",36.1733919,128.4641366
"경상북도 구미시 산동읍 인덕1길 131, 경운대학교 창업보육센터 414호",36.1733919,128.4641366
"경상북도 구미시 산동읍 인덕1길 131, 경운대학교 창업보육센터206호",36.1733919,128.4641366
경상북도 구미시 산동읍 인덕3길 3,36.1661927,128.4536929
경상북도 구미시 산동읍 인덕3길 4-7 (현일엔지니어링),36.1662322,128.4546868
경상북도 구미시 산동읍 인덕리 55번지 경운대학교 2호관 1104동 2호,36.1677868,128.4676712
경상북도 구미시 산동읍 인덕리 산 27-3번지,36.1663752,128.4492645
경상북도 구미시 산동읍 임봉길 19-564,36.148476,128.4565935
경상북도 구미시 산동읍 임천리 217-10번지,36.1337994,128.4719755
경상북도 구미시 산동읍 임천리 217번지,36.1337994,128.4719755
경상북도 구미시 산동읍 임천인덕로 250-1,36.1582278,128.462027
경상북도 구미시 산동읍 임천인덕로 252,36.1585151,128.4616063
경상북도 구미시 산동읍 임천인덕로 260,36.1586948,128.4612828
경상북도 구미시 산동읍 임천인덕로 278,36.1599011,128.460942
경상북도 구미시 산동읍 적림2길 34,36.1717909,128.4318923
경상북도 구미시 산동읍 적림2길 6-3,36.1696884,128.4336003
경상북도 구미시 산동읍 적림3길 112 (,36.1767838,128.4279355
경상북도 구미시 산동읍 적림3길 116,36.1771441,128.4279986
경상북도 구미시 산동읍 적림3길 120,36.1774095,128.4281212
경상북도 구미시 산업로 258 (원평동),36.12466,128.3486806
경상북도 구미시 산책길 33-4 (원평동),36.123832,128.3320975
경상북도 구미시 산호대로 1210 (금전동),36.125987,128.4514938
경상북도 구미시 삼일로 12 (진평동) 수빌딩 5층,36.1059517,128.4177871
경상북도 구미시 상모동 303-5번지,36.0874377,128.3526524
"경상북도 구미시 상사동로 159, 삼득빌딩 2층 (사곡동)",36.098766,128.3587423
경상북도 구미시 상사동로 83 (임은동),36.092131,128.3589431
"경상북도 구미시 상사동로 98-1, 1층 2호 (사곡동)",36.0934107,128.3595775
"경상북도 구미시 상사동로24길 18 (사곡동, 라이프파크빌301동)",36.0987131,128.3607333
"경상북도 구미시 상사동로28길 18, 프린스빌딩 (사곡동)",36.1007664,128.3609981
"경상북도 구미시 상사서로 182, 3층 (사곡동)",36.0984096,128.3576568
경상북도 구미시 새마을로 194 (사곡동) (,36.1032679,128.3575533
경상북도 구미시 선기로 119 (선기동) (총,36.1294771,128.3104411
경상북도 구미시 선기로3길 23 (남통동),36.1284031,128.3151653
경상북도 구미시 선기로3길 31 (남통동),36.1285587,128.3156247
경상북도 구미시 선산대로 87-2 (지산동),36.1379039,128.3457525
경상북도 구미시 선산읍 김선로 573,36.2135432,128.2597788
경상북도 구미시 선산읍 김선로 600-16 (,36.2124433,128.2632319
경상북도 구미시 선산읍 김선로 600-24,36.2121601,128.2637303
경상북도 구미시 선산읍 내고3길 85-30 (서진산업),36.2223067,128.2645763
경상북도 구미시 선산읍 내고3길 85-38 (녹명전자) (,36.2222883,128.2651424
경상북도 구미시 선산읍 대조오목길 560-9,36.2449413,128.2616996
경상북도 구미시 선산읍 대조오목길 566-6,36.2450635,128.2614631
경상북도 구미시 선산읍 독동리 618번지,36.245056,128.3258392
경상북도 구미시 선산읍 동교3길 14,36.2470086,128.3019661
경상북도 구미시 선산읍 동교3길 28-7,36.2483259,128.3010332
경상북도 구미시 선산읍 동교3길 6-20,36.247503,128.3028304
경상북도 구미시 선산읍 동교5길 28-8 (우진산업제조업),36.2495424,128.3014807
경상북도 구미시 선산읍 동교길 12,36.2442478,128.3038158
경상북도 구미시 선산읍 봉곡리 240-1번지,36.2489948,128.2639341
경상북도 구미시 선산읍 북산3길 48,36.21908,128.2645999
경상북도 구미시 선산읍 북산6길 14-33,36.2124477,128.2649435
경상북도 구미시 선산읍 북산6길 26,36.2132607,128.2677434
경상북도 구미시 선산읍 북산리 336-6번지,36.2157467,128.2704379
경상북도 구미시 선산읍 선산중앙로9길 3,36.2406115,128.295769
경상북도 구미시 선산읍 선산중앙로9길 4,36.2410616,128.2959765
경상북도 구미시 선산읍 선상서로 165-36,36.2367411,128.2832385
경상북도 구미시 선산읍 선상서로 198,36.2410335,128.2811145
경상북도 구미시 선산읍 선상서로 264-22,36.2436502,128.2731842
경상북도 구미시 선산읍 선상서로 290-5 (,36.2433557,128.2715121
경상북도 구미시 선산읍 선상서로 338-16,36.2428774,128.2767643
경상북도 구미시 선산읍 선상서로 340 (죽장리 글로벌테크),36.246154,128.266339
경상북도 구미시 선산읍 선상서로 452,36.2428774,128.2767643
경상북도 구미시 선산읍 성황5길 6,36.2429169,128.2989526
