name,address,type,product
(주)대한,경상남도 함안군 대산면 대부로 332 ((주)대한) 외 1필지,아스팔트 콘크리트 및 혼합제품 제조업,아스콘
(주)대한기술,경상남도 함안군 칠원읍 용정리 48-1번지 외 2필지,핵반응기 및 증기보일러 제조업,금속조립재
(주)대현산업,경상남도 함안군 대산면 이산로 100-12 외 1필지,도장 및 기타 피막처리업,도장
(주)대홍,경상남도 함안군 칠원읍 석전3길 57 (대홍) 외 1필지,산업용 트럭 및 적재기 제조업 외 2 종,어선인양기
(주)덕유,경상남도 함안군 군북면 함마대로 290-24 (군북면) 외 3필지,포장용 플라스틱 성형용기 제조업,"플라스틱파렛트, 플라스틱상자"
(주)데우스,경상남도 함안군 칠원읍 운무로 217-43 외 1필지,철도차량 부품 및 관련 장치물 제조업,차륜바퀴
(주)동남,경상남도 함안군 칠원읍 경남대로 1937-2 외 5필지,금속 스프링 제조업,자동차부품 및 유압부품
(주)동남정밀,경상남도 함안군 칠원읍 운무로 217-25 (총 2 필지) 외 1필지,그 외 자동차용 신품 부품 제조업 외 3 종,자동차 부품
(주)동산,경상남도 함안군 법수면 윤외공단길 35 ((주)동산) 외 1필지,절삭가공 및 유사처리업 외 1 종,"파일헤드,카바"
(주)동산플랜트,경상남도 함안군 군북면 유현리 1006번지 외 4필지 외 4필지,금속 절삭기계 제조업,"압력용기,열교환기제작"
(주)동신모텍(함안공장),경상남도 함안군 가야읍 남문길 29-3 (가야읍) 외 5필지,선박 구성 부분품 제조업 외 4 종,선박부품
(주)동신산업,경상남도 함안군 칠원읍 덕산1길 183 외 1필지,일반 제재업,목재제재
(주)동아레미콘,경상남도 함안군 칠원읍 무기로 103 ((주)동아산업함안레미콘) 외 1필지,레미콘 제조업,레미콘
(주)동아레미콘(제2공장),경상남도 함안군 칠원읍 무기로 103 ((주)동아산업함안레미콘) 외 4필지,아스팔트 콘크리트 및 혼합제품 제조업,아스콘
(주)동아특수금속,경상남도 함안군 대산면 송산로 769-37 외 1필지,그 외 기타 금속가공업,"절단가공품, 선별가공품"
(주)동양테크,경상남도 함안군 군북면 모로리 141번지 외 10필지,육상 금속 골조 구조재 제조업,철 구조물
(주)동원판넬,경상남도 함안군 칠원읍 오곡리 253 번지 외 2필지 외 2필지,기타 구조용 금속제품 제조업,컨테이너
(주)동인산업,경상남도 함안군 칠북면 화천리 1102-1번지 외 1필지,육상 금속 골조 구조재 제조업 외 1 종,철구조물
(주)동일기계,경상남도 함안군 칠원읍 원서로 109 (동일기계) (총 7 필지) 외 6필지,금속 절삭기계 제조업,산업기계부품
(주)동혜,경상남도 함안군 법수면 두배길 74 외 3필지,육상 금속 골조 구조재 제조업 외 1 종,철구조물
(주)두리원,경상남도 함안군 함안면 곶감길 146 (함안면) 외 1필지,도시락류 제조업 외 1 종,즉석건조식품 및 전투식량
(주)두산판넬,경상남도 함안군 칠서면 함의로 333 ((주)두산판넬) 외 1필지,육상 금속 골조 구조재 제조업 외 2 종,공작기계부품
(주)두성코텍,경상남도 함안군 함안면 비봉로 58-1 ((주)두성코텍) (총 2 필지) 외 1필지,선박 구성 부분품 제조업 외 9 종,"선박구성품,도장처리"
(주)디와이산업,경상남도 함안군 대산면 대부로 215-1 외 4필지,부직포 및 펠트 제조업,"보행매트, 식생매트"
(주)디자인시공사,경상남도 함안군 칠원읍 용산2길 63 외 1필지,간판 및 광고물 제조업 외 8 종,"간판 및 광고무 제조업, 볼랃, 쓰레기통, 차양, 자전거보관서, 버스승강장, 컨테이너하우스 등"
(주)리프팅코리아,경상남도 함안군 칠서면 계내리 148-5번지 외 1필지 외 1필지,볼트 및 너트류 제조업 외 3 종,나사제품
(주)링단조,경상남도 함안군 칠서면 회산길 205-1 외 1필지,금속 단조제품 제조업,각종 단조품
(주)마산,경상남도 함안군 법수면 법정로 83-13 ((주)마산) 외 1필지,비 및 솔 제조업 외 2 종,"브러쉬, 비철금속 조각, 금속절단 가공 "
(주)목양이엔지,경상남도 함안군 칠서면 함의로 273 외 1필지,"목재 포장용 상자, 드럼 및 유사용기 제조업","목재 box, PALLET"
(주)미래산기,경상남도 함안군 산인면 신산리 1192번지 외 6필지,기타 구조용 금속제품 제조업 외 1 종,금속 기계부품
(주)미래테크,경상남도 함안군 군북면 효자골길 26 (주식회사미래테크) 외 2필지,육상 금속 골조 구조재 제조업 외 4 종,"풍력프랜지 및 기계부붐, 선박구조물, 신재생에너지기계, 가로등 등"
(주)범곡산업,경상남도 함안군 함안면 비봉로 54 외 3필지,기타 기관 및 터빈 제조업,엔진 및 터빈
(주)범창,경상남도 함안군 칠원읍 예곡리 770 번지 외 15필지,선박 구성 부분품 제조업 외 2 종,선박구성품
(주)베인,경상남도 함안군 칠북면 화천1길 122 외 5필지,그 외 자동차용 신품 부품 제조업 외 3 종,"자동차부품(조향장치, 에어컨부품)"
(주)보광산업,경상남도 함안군 칠서면 삼칠로 767 외 2필지,아스팔트 콘크리트 및 혼합제품 제조업,재생아스콘
(주)보성산업,경상남도 함안군 대산면 옥렬리 62-7번지 외 4필지,아스팔트 콘크리트 및 혼합제품 제조업,아스콘
(주)보성테크,경상남도 함안군 칠서면 삼칠로 455-57 (총 5 필지) 외 4필지,그 외 기타 전자부품 제조업 외 1 종,"전자부품(냉장고,세탁기) 및 자동차부품"
(주)산호수출포장,경상남도 함안군 대산면 이산로 100-8 외 1필지,"목재 포장용 상자, 드럼 및 유사용기 제조업",목상자
(주)삼보산업,경상남도 함안군 대산면 송산로 621 외 12필지,레미콘 제조업,레미콘
(주)삼성아스콘,경상남도 함안군 대산면 송산로 621-2 외 11필지,아스팔트 콘크리트 및 혼합제품 제조업,아스콘
(주)삼영기업,경상남도 함안군 대산면 부목리 195-1번지 외 3필지,스크린 인쇄업 외 4 종,Name Plate
(주)삼인스틸,경상남도 함안군 대산면 평림리 200-1번지 외 2필지,육상 금속 골조 구조재 제조업 외 1 종,H빔 보강재
(주)상보,경상남도 함안군 법수면 법수로 516 외 4필지,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업,콘크리트관 및 콘크리트 제품
(주)새한나노텍,경상남도 함안군 칠서면 가연로 5 ((주)새한) 외 1필지,금속 절삭기계 제조업,공작기계부분품
