회사명,신고기준년도,폐기물 종류,운반자,처리업소명,처리방법,공장대표주소,,업종명,생산품
(주)알씨텍,2015,폐합성수지류(폐염화비닐수지류는 제외한다),동광환경(주),(주)네비엔영천사업소,중간처분(일반소각),경상북도 칠곡군 약목면 경호천동길 74,,,
(주)알씨텍,2015,폐수처리오니,디제코,쌍용양회(주)동해공장,재활용(직접 제품제조),경상북도 칠곡군 약목면 경호천동길 74,,,
(주)알씨텍,2015,그 밖의 무기성오니,(주)황소,주식회사세라에이치티,재활용(성토재·복토재 등으로 사용),경상북도 칠곡군 약목면 경호천동길 74,,,
(주)알씨텍,2015,그 밖의 무기성오니,황소산업주식회사,주식회사세라에이치티,재활용(성토재·복토재 등으로 사용),경상북도 칠곡군 약목면 경호천동길 74,,,
(주)알씨텍,2015,폐수처리오니,동광환경(주),(주)서진인바이러테크,재활용(중간가공폐기물 제조),경상북도 칠곡군 약목면 경호천동길 74,,,
(주)알씨텍,2015,폐수처리오니,(주)경일물류,삼표시멘트(주)삼척공장,재활용(직접 제품제조),경상북도 칠곡군 약목면 경호천동길 74,,,
(주)알씨텍,2015,폐수처리오니,(주)아이에스텍,삼표시멘트(주)삼척공장,재활용(직접 제품제조),경상북도 칠곡군 약목면 경호천동길 74,,,
(주)알씨텍,2015,폐수처리오니,디제코,삼표시멘트(주)삼척공장,재활용(직접 제품제조),경상북도 칠곡군 약목면 경호천동길 74,,,
(주)타스지혁 제1공장,2015,폐합성수지류(폐염화비닐수지류는 제외한다),(주)제일에너지,(주)제일에너지,중간처분(일반소각),경상북도 칠곡군 왜관읍 공단로5길 60-4,,,
(주)칠곡연합자동차해체재활용업,2015,자동차회수폐냉매물질,(주)오운알투텍,(주)오운알투텍,재활용(원료 제조),경상북도 칠곡군 약목면 약목로 12,,,
(주)칠곡연합자동차해체재활용업,2015,그 밖의 폐합성고분자화합물(합성수지류로 피복된 폐전선을 포함한다),문화산업,대성금속,재활용(중간가공폐기물 제조),경상북도 칠곡군 약목면 약목로 12,,,
삼성물산(주),2015,폐수처리오니,내일산업,(주)티에스케이이엔이,매립(민간관리형매립시설),경상북도 칠곡군 석적읍 포망로 153,,,
삼성물산(주),2015,공정오니,내일산업,(주)티에스케이이엔이,매립(민간관리형매립시설),경상북도 칠곡군 석적읍 포망로 153,,,
한국푸드,2015,음식물류폐기물,(주)앞선환경,(주)앞선환경,재활용(농업생산활동에 사용),경상북도 칠곡군 지천면 지천로 481-1,,,
장천종합폐차산업,2015,폐자동차에서 회수한 폐냉매물질,(주)오운알투텍,(주)오운알투텍,재활용(정제),경상북도 칠곡군 가산면 송신로 567,,,
왜관폐차자동차해체 재활용산업,2015,자동차 폐타이어,(주)동흥상사,(주)동흥상사,재활용(중간가공폐기물 제조),경상북도 칠곡군 기산면 칠곡대로 1274,,,
왜관폐차자동차해체 재활용산업,2015,자동차회수폐냉매물질,(주)오운알투텍,(주)오운알투텍,재활용(원료 제조),경상북도 칠곡군 기산면 칠곡대로 1274,,,
왜관폐차자동차해체 재활용산업,2015,그 밖의 폐합성고분자화합물(합성수지류로 피복된 폐전선을 포함한다),(주)화인메탈,(주)화인메탈,재활용(원료 제조),경상북도 칠곡군 기산면 칠곡대로 1274,,,
왜관폐차자동차해체 재활용산업,2015,그 밖의 폐합성고분자화합물(합성수지류로 피복된 폐전선을 포함한다),문화산업,대성금속,재활용(원료 제조),경상북도 칠곡군 기산면 칠곡대로 1274,,,
왜관폐차자동차해체 재활용산업,2015,폐합성수지류(폐염화비닐수지류는 제외한다),환희기업(주),환희지점(주)달성지점,재활용(중간가공폐기물 제조),경상북도 칠곡군 기산면 칠곡대로 1274,,,
은경케미칼,2015,그 밖의 폐기물,천우환경,(주)케이엠그린구미지점,매립(민간관리형매립시설),경상북도 칠곡군 가산면 학상1길 159-26,,,
A플러스무역,2015,폐섬유,자가,(주)국인산업,중간처분(일반소각),경상북도 칠곡군 지천면 창평로 104,,,
윤성자동차해체재활용산업,2015,자동차 폐타이어,(주)경남종합상사,(주)경남종합상사,재활용(중간가공폐기물 제조),경상북도 칠곡군 왜관읍 현대로 40-21,,,
윤성자동차해체재활용산업,2015,자동차회수폐냉매물질,(주)오운알투텍,(주)오운알투텍,재활용(원료 제조),경상북도 칠곡군 왜관읍 현대로 40-21,,,
윤성자동차해체재활용산업,2015,폐합성수지류(폐염화비닐수지류는 제외한다),(주)피앤피,(주)피앤피,재활용(중간가공폐기물 제조),경상북도 칠곡군 왜관읍 현대로 40-21,,,
윤성자동차해체재활용산업,2015,자동차 폐타이어,(주)해룡,(주)해룡,재활용(연료·고형연료제품 제조),경상북도 칠곡군 왜관읍 현대로 40-21,,,
에이스켐,2015,분진(대기오염방지시설에서 포집된 것에 한정하되_ 소각시설에서 발생되는 것은 제외한다),라이프환경,(주)티에스케이이엔이,매립(민간관리형매립시설),경상북도 칠곡군 동명면 남원로 15,,,
(주)제일자동차해체 재활용산업,2015,자동차회수폐냉매물질,(주)오운알투텍,(주)오운알투텍,재활용(원료 제조),경상북도 칠곡군 왜관읍 호국로 347,,,
(주)제일자동차해체 재활용산업,2015,자동차 폐타이어,승문산업,승문산업,재활용(원료 제조),경상북도 칠곡군 왜관읍 호국로 347,,,
