name,address,type,product
모든솔라라이트,경상남도 김해시 한림면 용덕리 714-14,전시 및 광고용 조명장치 제조업,
문화산업,경상남도 김해시 한림면 신천리 195-7,기타 인쇄업,
백두엔지니어링(주),경상남도 김해시 생림면 생철리 224-1,기타 건축용 플라스틱 조립제품 제조업 외 11 종,
범한모노레일,경상남도 김해시 진례면 고모리 1011-2,그외 기타 달리 분류되지 않은 운송장비 제조업 외 2 종,
부신정밀,경상남도 김해시 주촌면 내삼리 1016-1,주형 및 금형 제조업,
삼일정공,경상남도 김해시 생림면 봉림리 962-15,그외 기타 자동차 부품 제조업 외 2 종,
삼현아이엔티주식회사,경상남도 김해시 한림면 퇴래리 609-5,그외 기타 자동차 부품 제조업,
삼현아이엔티주식회사,경상남도 김해시 한림면 퇴래리 609-5,그외 기타 자동차 부품 제조업,
서윤플랜트,경상남도 김해시 한림면 장방리 803-1,"증류기,열교환기 및 가스발생기 제조업",
성도정밀공업(주),경상남도 김해시 진영읍 본산리 608-2,금속 절삭기계 제조업,
세광스프링,경상남도 김해시 상동면 우계리 826-15,금속 스프링 제조업,
세림산업,경상남도 김해시 안동 422-1,플라스틱 발포 성형제품 제조업,
세명전기,경상남도 김해시 진례면 고모리 378,배전반 및 전기자동제어반 제조업,
수인산업,경상남도 김해시 진례면 송현리 1055-27,주형 및 금형 제조업,
신우중공업주식회사,경상남도 김해시 한림면 명동리 1177,금속 조립구조재 제조업 외 8 종,
신진기계,경상남도 김해시 진례면 고모리 1027,절삭가공 및 유사처리업,
아이엔테코(주),경상남도 김해시 한림면 병동리 843-13,컨베이어장치 제조업,
엘티테크(주),경상남도 김해시 안동 386,철도차량부품 및 관련장치물 제조업,
오룡기계,경상남도 김해시 한림면 명동리 468-1,기타 가공공작기계 제조업 외 1 종,
이더블유에스코리아(주),경상남도 김해시 주촌면 농소리 625-8,기타 가공공작기계 제조업,
이루PMC,경상남도 김해시 한림면 퇴래리 609-5,그외 기타 자동차 부품 제조업,
정도목재,경상남도 김해시 상동면 우계리 253-5,기타 건축용 나무제품 제조업,
정아정밀(주),경상남도 김해시 한림면 신천리 282,그외 기타 자동차 부품 제조업 외 1 종,
정아정밀(주),경상남도 김해시 주촌면 망덕리 877-2,그외 기타 자동차 부품 제조업,
정우테크,경상남도 김해시 생림면 나전리 320-2,수동식 식품 가공기기 및 금속주방용기 제조업,
주식회사 대원플라텍,경상남도 김해시 주촌면 망덕리 872-2,주방용 전기기기 제조업,
주식회사 티오피에스,경상남도 김해시 주촌면 농소리 625-2,금속 절삭기계 제조업 외 2 종,
주식회사대영기계,경상남도 김해시 상동면 매리 185-2,설치용 금속탱크 및 저장용기 제조업,
주식회사성경산업,경상남도 김해시 상동면 우계리 52-4,그외 기타 자동차 부품 제조업,
주식회사큐피,경상남도 김해시 한림면 병동리 774-2,그외 기타 1차 철강 제조업,
청구산업기계,경상남도 김해시 상동면 우계리 601-1,산업용 송풍기 및 배기장치 제조업 외 12 종,
캠아트,경상남도 김해시 진례면 산본리 44-3,그외 기타 일반목적용 기계 제조업,
코리아갈바(주),경상남도 김해시 주촌면 덕암리 822,도금업,
크리스탈에코(주),경상남도 김해시 한림면 용덕리 714-14,"증류기,열교환기 및 가스발생기 제조업",
태운,경상남도 김해시 진례면 담안리 1224,플라스틱 발포 성형제품 제조업,
피앤알,경상남도 김해시 생림면 생철리 202,기타 구조용 금속제품 제조업,
한발매스테크(주),경상남도 김해시 주촌면 농소리 630-1,기체 여과기 제조업 외 1 종,
한창산업,경상남도 김해시 주촌면 내삼리 724-1,금속압형제품 제조업,
화인테크,경상남도 김해시 지내동 196-14,"탭, 밸브 및 유사장치 제조업",
흥일기업(주)제1공장,경상남도 김해시 안동 386,기관차 및 기타 철도차량 제조업 외 8 종,
(주)강림씨에스피,경상남도 김해시 주촌면 천곡리 160,강관 제조업,
(주)건영금속,경상남도 김해시 주촌면 내삼리 888,선박 구성부분품 제조업,
(주)대신에이엔씨,경상남도 김해시 진영읍 본산리 303-8,그외 기타 자동차 부품 제조업 외 1 종,
(주)대주씨에스,경상남도 김해시 진영읍 본산리 316-14,그외 기타 분류안된 화학제품 제조업,
(주)더위네이브,경상남도 김해시 한림면 가동리 484-6,오락 및 스포츠용 보트 건조업 외 2 종,
(주)동진캐스팅,경상남도 김해시 부곡동 219-2,"동 제련, 정련 및 합금 제조업",
(주)디에이치에이치아이,경상남도 김해시 주촌면 농소리 622-8,컨베이어장치 제조업 외 2 종,
(주)리안푸드,경상남도 김해시 진례면 담안리 382-1,떡류 제조업 외 1 종,
(주)명승골프,경상남도 김해시 주촌면 내삼리 1193-5,기타 운동 및 경기용구 제조업,
(주)무공문화,경상남도 김해시 상동면 매리 644,기타 목재가구 제조업 외 7 종,
(주)미소담은,경상남도 김해시 주촌면 양동리 301,기타 육류 가공 및 저장처리업,
(주)바이저시스템,경상남도 김해시 생림면 사촌리 99-1,금속 조립구조재 제조업,
(주)보원산업,경상남도 김해시 진영읍 본산리 933-1,그외 기타 자동차 부품 제조업,
(주)비와이,경상남도 김해시 진례면 청천리 850-8,선박 구성부분품 제조업,
(주)삼명정밀,경상남도 김해시 생림면 나전리 1049-1,그외 기타 자동차 부품 제조업,
(주)삼영데리카후레쉬,경상남도 김해시 생림면 나전리 87-12,,
(주)선에너지엘이디,경상남도 김해시 주촌면 내삼리 888,전구 및 램프 제조업 외 5 종,
(주)세원이엔티,경상남도 김해시 생림면 나전리 665,배전반 및 전기자동제어반 제조업 외 2 종,
(주)신어산음료,경상남도 김해시 상동면 묵방리 132-2,생수 생산업,
(주)워터크린시스템,경상남도 김해시 지내동 267-15,"탭, 밸브 및 유사장치 제조업 외 1 종",
(주)이삭테크,경상남도 김해시 한림면 안하리 522-1,강화 및 재생 목재 제조업 외 5 종,
(주)인디,경상남도 김해시 부곡동 96-17,승강기 제조업,
(주)중원플랜트,경상남도 김해시 한림면 안하리 329-2,금속 조립구조재 제조업,
(주)지평산업,경상남도 김해시 한림면 안하리 329-2,그외 기타 금속가공업,
(주)태산이앤씨,경상남도 김해시 어방동 1062-23,도장 및 기타 피막처리업,
(주)테크플라워,경상남도 김해시 진례면 산본리 1134-6,선박 구성부분품 제조업,
(주)테크플라워,경상남도 김해시 진례면 산본리 1134-6,선박 구성부분품 제조업 외 1 종,
(주)테크플라워,경상남도 김해시 진례면 산본리 1134-6,선박 구성부분품 제조업,
(주)평진,경상남도 김해시 주촌면 농소리 628-6,내연기관 제조업 외 2 종,
(주)해성축산,경상남도 김해시 지내동 267-7,기타 육류 가공 및 저장처리업,
(주)홍인그린텍,경상남도 김해시 주촌면 천곡리 706-1,음·식료품 및 담배 가공기계 제조업,
BS웰딩,경상남도 김해시 상동면 우계리 842,그외 기타 전기장비 제조업,
MedPark,경상남도 김해시 어방동 607 인제대학교,의료용품 및 기타 의약관련제품 제조업,
금강공업,경상남도 김해시 주촌면 내삼리 871-7,금속압형제품 제조업,
금테크,경상남도 김해시 안동 539-37,절삭가공 및 유사처리업,
나노이엔지주식회사,경상남도 김해시 한림면 병동리 843-13,컨베이어장치 제조업,
나우테크,경상남도 김해시 한림면 안곡리 675-1,선박 구성부분품 제조업,
도경엔지니어링,경상남도 김해시 한림면 퇴래리 924,그외 기타 일반목적용 기계 제조업,
동은금속,경상남도 김해시 주촌면 내삼리 1231-9,"탭, 밸브 및 유사장치 제조업",
백배산업,경상남도 김해시 한림면 안하리 522-1,구조용 금속판제품 및 금속공작물 제조업 외 2 종,
범아산업,경상남도 김해시 진례면 송현리 1055-4,산업용 로봇 제조업 외 1 종,
보광라이팅,경상남도 김해시 주촌면 망덕리 563-1,금속 조립구조재 제조업 외 2 종,
비오씨(주),경상남도 김해시 생림면 나전리 320-2,선박 구성부분품 제조업,
삼공기전,경상남도 김해시 주촌면 망덕리 576-2,배전반 및 전기자동제어반 제조업,
삼부정밀화학(주),경상남도 김해시 주촌면 원지리 1093,"플라스틱 필름, 시트 및 판 제조업",
삼부정밀화학(주),경상남도 김해시 주촌면 내삼리 934-6,"플라스틱 필름, 시트 및 판 제조업",
삼원목재,경상남도 김해시 한림면 장방리 541,일반 제재업,
삼원목재,경상남도 김해시 한림면 장방리 541,일반 제재업,
삼정EPS,경상남도 김해시 한림면 안곡리 623-18,도장 및 기타 피막처리업,
삼주정밀화학(주),경상남도 김해시 진영읍 의전리 266-2,합성수지 및 기타 플라스틱물질 제조업,
삼회산업(주),경상남도 김해시 주촌면 농소리 629-3,광학렌즈 및 광학요소 제조업 외 7 종,
세영정밀,경상남도 김해시 주촌면 덕암리 878-1,"금속 문, 창, 셔터 및 관련제품 제조업",
세영테크,경상남도 김해시 주촌면 덕암리 876-2,"금속 문, 창, 셔터 및 관련제품 제조업",
신우중공업주식회사,경상남도 김해시 한림면 명동리 1177,금속 조립구조재 제조업 외 10 종,
신한유도가열,경상남도 김해시 상동면 우계리 842,"산업용 오븐, 노 및 노용 버너 제조업",
아이엔테코(주),경상남도 김해시 한림면 병동리 843-13,컨베이어장치 제조업,
용마산업(주),경상남도 김해시 진례면 고모리 110,산업용 비경화고무제품 제조업 외 2 종,
워터텍,경상남도 김해시 상동면 우계리 610-1,선박 구성부분품 제조업,
이레엔텍(주),경상남도 김해시 한림면 장방리 683-3,기체 여과기 제조업,
일흥하이텍(주),경상남도 김해시 안동 422-1,그외 기타 자동차 부품 제조업,
조은기계,경상남도 김해시 한림면 명동리 498-2,금속압형제품 제조업,
주식회사 스마트아이디어,경상남도 김해시 주촌면 내삼리 1231-9,,
주식회사 에스디엘 김해지점,경상남도 김해시 주촌면 농소리 625-2,그외 기타 일반목적용 기계 제조업 외 2 종,
주식회사 티오피에스,경상남도 김해시 주촌면 농소리 625-2,금속 절삭기계 제조업 외 2 종,
주식회사비엠,경상남도 김해시 주촌면 내삼리 708,생물학적 제제 제조업 외 2 종,
주식회사정우,경상남도 김해시 한림면 가산리 549,플라스틱 창호 제조업,
한발매스테크(주),경상남도 김해시 주촌면 농소리 630-1,기체 여과기 제조업 외 1 종,
한신공압,경상남도 김해시 진례면 산본리 164,기체 펌프 및 압축기 제조업,
(주)광진엔지니어링,경상남도 김해시 상동면 묵방리 793-3,선박 구성부분품 제조업,
(주)금동,경상남도 김해시 진영읍 의전리 343-2,가공 및 재생 플라스틱원료 생산업,
(주)다양테크,경상남도 김해시 안동 539-33,선박 구성부분품 제조업,
(주)대신에스엔씨,경상남도 김해시 진영읍 본산리 307-2,그외 기타 자동차 부품 제조업,
(주)대운전기,경상남도 김해시 진영읍 하계리 779-1,배전반 및 전기자동제어반 제조업 외 4 종,
(주)동산업,경상남도 김해시 한림면 퇴래리 259,동주물 주조업,
(주)동아풍력,경상남도 김해시 한림면 명동리 1203-1,산업용 송풍기 및 배기장치 제조업 외 2 종,
(주)동진산업,경상남도 김해시 주촌면 내삼리 716-7,금속 열처리업,
(주)백광에스엠씨,경상남도 김해시 한림면 안곡리 531,저장용 및 위생용 플라스틱제품 제조업 외 1 종,
(주)삼화타이어,경상남도 김해시 진영읍 본산리 306-2,타이어 재생업,
(주)석진이엔티,경상남도 김해시 진영읍 죽곡리 20-1,그외 기타 분류안된 금속가공제품 제조업,
(주)세창스틸,경상남도 김해시 한림면 가산리 644-1,그외 기타 1차 철강 제조업,
(주)신화산업,경상남도 김해시 생림면 나전리 690,그외 기타 자동차 부품 제조업 외 1 종,
(주)아이엠씨,경상남도 김해시 한림면 병동리 852-7,도장 및 기타 피막처리업,
(주)에스티산업,경상남도 김해시 주촌면 원지리 1192-2,구조용 금속판제품 및 금속공작물 제조업,
(주)에스피스틸,경상남도 김해시 한림면 장방리 764-1,금속 조립구조재 제조업 외 7 종,
(주)엔보이비젼,경상남도 김해시 주촌면 농소리 626-3,그외 기타 의료용 기기 제조업,
(주)연합화스너,경상남도 김해시 주촌면 골든루트로66번길 48-5,금속파스너 및 나사제품 제조업,
(주)영안화공,경상남도 김해시 주촌면 내삼리 1076,산업용 비경화고무제품 제조업 외 4 종,
(주)영안화공,경상남도 김해시 주촌면 내삼리 1076,산업용 비경화고무제품 제조업 외 5 종,
(주)이진피앤지,경상남도 김해시 진례면 담안리 920,"플라스틱 포대, 봉투 및 유사제품 제조업",
