순번,단지명,회사명,대표업종번호,업종번호,업종명,공장대표주소,시군구,설립구분,생산품
9420,,캠포유,30203,30203,트레일러 및 세미트레일러 제조업,대구광역시 동구,동구,일반,트레일러
9421,서대구일반산업단지,컨설팅그룹함부로,71531,71531,경영 컨설팅업,서대구산업단지관리공단,서구,일반산업단지,경영컨설팅
9422,,케이 엠,29292,29292+29222,고무+화학섬유 및 플라스틱 성형기 제조업 외 1 종,대구광역시 달성군,달성군,일반,발표압출성형기
9423,대구연구개발특구,케이.에스.유 주식회사,29194,29194,동력식 수지공구 제조업,연구개발특구지원본부 대구기술사업화센터 운영지원팀,동구,국가산업단지,밴드쏘
9424,북구검단지방산업단지,케이디엠테크(주),29199,29199+29176,그 외 기타 일반목적용 기계 제조업 외 1 종,(사)대구검단산업단지관리공단,북구,일반산업단지,자동화기계
9425,대구제3일반산업단지,케이디정밀,29294,29294,주형 및 금형 제조업,대구제3산업단지관리공단,북구,일반산업단지,도어프레임
9426,북구검단지방산업단지,케이디테크,30310,30310+30400,자동차 엔진용 신품 부품 제조업 외 1 종,(사)대구검단산업단지관리공단,북구,일반산업단지,자동차엔진부품
9427,북구검단지방산업단지,케이디파워(주),28123,28123,배전반 및 전기 자동제어반 제조업,(사)대구검단산업단지관리공단,북구,일반산업단지,수배전반+분전반+태양광발전+LED조명
9428,성서지방산업단지,케이론,13409,13409,섬유제품 기타 정리 및 마무리 가공업,대구성서산업단지관리공단,달서구,일반산업단지,섬유방수
9429,서대구일반산업단지,케이모터스,45120,45120,중고 자동차 판매업,서대구산업단지관리공단,서구,일반산업단지,중고 자동차 매매
9430,북구검단지방산업단지,케이비메탈,68112,68112,비주거용 건물 임대업,(사)대구검단산업단지관리공단,북구,일반산업단지,
9431,서대구일반산업단지,케이비부동산신탁주식회사,64201,64201+68122,신탁업 및 집합투자업 외 1 종,서대구산업단지관리공단,서구,일반산업단지,신탁업 및 집합투자업+비주거용 건물 개발 및 공급업
9432,달성일반산업단지,케이비아이메탈(주),28111,28111+28909,전동기 및 발전기 제조업 외 1 종,달성1차산업단지관리공단,달성군,일반산업단지,모타코아+트랜스코아+전장품모타+스타트모타+알레에이터모타
9433,달성일반산업단지,케이비아이메탈(주),28111,28111+28909,전동기 및 발전기 제조업 외 1 종,달성1차산업단지관리공단,달성군,일반산업단지,모타코아+트랜스코아+전장품모타+스타트모타+알터네이트모타
9434,달성일반산업단지,케이비아이메탈(주)제2공장,28111,28111+28909,전동기 및 발전기 제조업 외 1 종,달성1차산업단지관리공단,달성군,일반산업단지,모타코어+전장품모타+스타트모타+알레에이터모타
