회사명,종업원수,생산품,용지면적(제곱미터),제조시설면적(제곱미터),부대시설면적(제곱미터),공장대표주소,도로명주소,업종명,년도,분기,위도,경도
(주)성우에스앤씨,6,금속압형제품,,960,178.75,경상남도 김해시 진례면 고모리 441-3,경상남도 김해시 진례면 고모로582번길 22-2,자동차용 금속 압형제품 제조업 외 1 종,2017,4,35.27458594,128.7776159
(주)성우테크,10,자동차내장용부품,,490,57.15,경상남도 김해시 상동면 우계리 82-10,경상남도 김해시 상동면 묵방로 89-39,자동차 차체용 신품 부품 제조업 외 1 종,2017,4,35.29819495,128.9096849
(주)성원기업제2공장,10,석재가공품,,1832.28,454.2,경상남도 김해시 생림면 생림리 740,경상남도 김해시 생림면 장재로 290,선박 구성 부분품 제조업,2017,4,35.32336241,128.8254818
(주)성음하이텍,1,멜로디컵,,69.75,146.5,경상남도 김해시 진례면 송현리 941-3,경상남도 김해시 진례면 고모로216번길 175,그 외 기타 달리 분류되지 않은 제품 제조업 외 1 종,2017,4,35.24522397,128.7756192
(주)성일정공,5,조립금속,,640,400,경상남도 김해시 한림면 명동리 1186-1,경상남도 김해시 한림면 김해대로 1102-116 (총 8 필지),비동력식 수공구 제조업,2017,4,35.29111713,128.8031904
(주)성웅축산기업,20,육류,,972,139.99,경상남도 김해시 주촌면 내삼리 1317,경상남도 김해시 주촌면 서부로1403번길 23-22 (총 2 필지),육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,2017,4,35.22570381,128.8153017
(주)성원기업,5,선박부품,,470.4,0,경상남도 김해시 생림면 생림리 755,경상남도 김해시 생림면 장재로 310,선박 구성 부분품 제조업,2017,4,35.32443936,128.8279898
(주)성은테크,5,에어컨용압축기부품,,492.18,82.4,경상남도 김해시 주촌면 내삼리 563,경상남도 김해시 주촌면 서부로1541번길 53 (총 3 필지) (총 3 필지),기체 펌프 및 압축기 제조업,2017,4,35.23660019,128.8173568
(주)성원기업,25,선박부품,,2144.88,1260,경상남도 김해시 생림면 생림리 778-1,경상남도 김해시 생림면 장재로 293-2,선박 구성 부분품 제조업,2017,4,35.3243895,128.824415
(주)성원특강,5,자동차부품용철강소재,,529.2,39,경상남도 김해시 진영읍 본산리 300-3,경상남도 김해시 진영읍 본산로 160,그 외 기타 1차 철강 제조업,2017,4,35.31562206,128.7429297
(주)성일,20,"도어,문틀셋트",,627,529.387,경상남도 김해시 한림면 퇴래리 1092-2,경상남도 김해시 한림면 김해대로1031번길 20 (주)성일) (총 8 필지),기타 건축용 나무제품 제조업 외 3 종,2017,4,35.29559502,128.7990859
(주)성원기업,3,선박구성품,,746.65,0,경상남도 김해시 부곡동 98-2,경상남도 김해시 장유로55번길 30-9,선박 구성 부분품 제조업 외 1 종,2017,4,35.217356,128.8002688
(주)성원아이앤디,49,"중장비 판금,제관부품",,5870.5,1263.84,,"경상남도 김해시 주촌면 골든루트로66번길 47-4, N-2",건설 및 채광용 기계장비 제조업 외 3 종,2017,4,35.21452656,128.8346924
(주)성일,111,건축용자재,,4123.19,1168.85,경상남도 김해시 한림면 퇴래리 1092-2,경상남도 김해시 한림면 김해대로1031번길 20 (총 3 필지),기타 건축용 나무제품 제조업 외 2 종,2017,4,35.29559502,128.7990859
(주)성중,3,용기,,300,37.5,,경상남도 김해시 주촌면 서부로1743번길 52,포장용 플라스틱 성형용기 제조업,2017,4,35.23758727,128.841587
